Hotel Name,Room Type,Single Bed,Double Bed,Price
Mövenpick Hotel Apartments Al Mamzar Dubai,Superior Twin Room,Yes,No,"₹ 8,663"
Al Khaleej Palace Deira Hotel,Deluxe Double Room,Yes,No,"₹ 5,233"
Ramee Rose Hotel,Standard Double or Twin Room,Yes,Yes,"₹ 4,083"
FORTUNE ATRIUM HOTEL,Standard Double or Twin Room,No,Yes,"₹ 6,883"
Radisson Dubai Damac Hills,Standard Room,No,No,"₹ 9,030"
Wyndham Dubai Deira,"Superior King Room with City View, Complimentary Shuttle to Kite Beach, Dubai Mall / Burj Khalifa, 25% off F&B and Spa",No,No,"₹ 7,308"
Abidos Hotel Apartment Dubai Land,Deluxe One Bedroom Apartment with Balcony,No,Yes,"₹ 6,347"
Hyde Park Hotel,Standard Double Room,No,Yes,"₹ 4,871"
Sheraton Dubai Creek Hotel & Towers,"Deluxe Room, Guest room, 1 King, City view",No,Yes,"₹ 14,043"
Le Meridien Fairway,"Deluxe Room – Complimentary Access/Transfers to Le Meridien Dubai Hotel & Conference Pool Area, 30% Discount in All Bar/Restaurants",No,Yes,"₹ 10,419"
GSS Palace Hotel,Standard Twin Room,Yes,No,"₹ 3,804"
OYO 367 Eureka Hotel,Standard Twin Room,Yes,No,"₹ 3,523"
Ramada Plaza by Wyndham Dubai Deira,Deluxe King Room - Non-Smoking,No,Yes,"₹ 7,433"
THE K HOTEL,Double Room,No,Yes,"₹ 3,664"
Hyatt Place Dubai Al Rigga,Twin Room with Sofa Bed,Yes,No,"₹ 11,597"
"Moon Valley Hotel Apartment - Bur Dubai, Burjuman",Deluxe Double or Twin Room,No,No,"₹ 5,358"
Le Wana Hotel,Standard King Room with City View,No,Yes,"₹ 6,348"
"Courtyard by Marriott World Trade Centre, Dubai",Partner offer option,No,No,"₹ 18,346"
La Suite Dubai Hotel & Apartments,Urban King Room - with complimentary Shuttle Service to Al Mamzar Beach and Deira City Center,No,Yes,"₹ 8,404"
Studio M Arabian Plaza Hotel & Hotel Apartments,King Guest Room,No,Yes,"₹ 8,259"
Hilton Dubai Al Habtoor City,Studio with Kitchen,No,No,"₹ 24,207"
Hyatt Regency Creek Heights Residences,King Room,No,Yes,"₹ 17,221"
Canopy by Hilton Dubai Al Seef,Superior Double or Twin Room,No,No,"₹ 12,014"
Fortune Deira Hotel,"Deluxe Room, Guest room, 1 Queen, Garden view - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off",No,Yes,"₹ 4,765"
"Le Meridien Dubai Hotel, Royal Club & Conference Centre",Standard King Room,No,Yes,"₹ 23,782"
"Courtyard by Marriott Dubai, Al Barsha",Deluxe Single Room,Yes,No,"₹ 10,192"
Golden Tulip Media Hotel,Standard Double Room - Non-Smoking,No,Yes,"₹ 9,857"
Best Western Plus Dubai Academic City,Superior Double Room,No,Yes,"₹ 4,333"
The Manor By JA,Simplicity,No,Yes,"₹ 6,457"
Edge Creekside Hotel,Deluxe King Room,No,Yes,"₹ 10,926"
ibis Styles Dubai Deira,Standard Double Room,No,Yes,"₹ 6,706"
AL KARNAK HOTEL - BRANCH,Double Room,No,Yes,"₹ 4,024"
Grand Excelsior Hotel Al Barsha,Superior King/ Twin Room (Complimentary Shuttle to the Beach and Mall of the Emirates),No,No,"₹ 7,544"
Jood Hotel Apartments,Deluxe Two - Bedroom Apartment,Yes,Yes,"₹ 21,177"
Sofitel Dubai Downtown,Luxury King Room,No,Yes,"₹ 22,698"
Regal Peninsula Hotel Formerly New Peninsula Hotel Ghubaiba Bus Station Bur Dubai,Deluxe twin room,Yes,Yes,"₹ 3,473"
Millennium Plaza Downtown Suites,Junior Suite,Yes,Yes,"₹ 10,592"
Jumeirah Creekside Hotel,Deluxe Room - Includes late check-out until 2pm,No,Yes,"₹ 15,855"
Dusit D2 Kenz Hotel Dubai,Partner offer option,No,No,"₹ 10,075"
"voco - Bonnington Dubai, an IHG Hotel",Deluxe King Room - Non-Smoking,No,Yes,"₹ 19,345"
Excelsior Hotel Downtown,Superior King Room,No,Yes,"₹ 5,300"
Lotus Grand Hotel,Deluxe Double or Twin Room,Yes,Yes,"₹ 5,119"
"Al Khoory Executive Hotel, Al Wasl",Deluxe Double or Twin Room,Yes,Yes,"₹ 7,884"
Filfila Vacation,Double Room,No,Yes,"₹ 7,624"
The Canvas Dubai - MGallery Hotel Collection,Superior King Room,No,Yes,"₹ 12,684"
Savoy Park Hotel Apartments,"Classic Studio Suite with Complimentary Shuttle to La Mer Beach (inclusive of Beach Mats & Beach Towels), BurJuman Mall and Outlet Mall",No,No,"₹ 7,399"
