Hotel Name,Room Type,Single Bed,Double Bed,Price
Modern meets Classic - near Volkspark Schöneberg,Two-Bedroom Apartment,No,Yes,"₹ 17,859"
Ku'Damm 101 Hotel,Double Room,No,Yes,"₹ 9,897"
numa I Savi Rooms & Apartments,Double Room,No,Yes,"₹ 9,993"
Mercure Hotel Berlin Zentrum Superior,Standard Double or Twin Room,Yes,Yes,"₹ 15,387"
H10 Berlin Ku'damm,Basic Deluxe Room,No,Yes,"₹ 10,415"
Hotel Orion Berlin,Double Room,No,Yes,"₹ 7,959"
MEININGER Hotel Berlin Tiergarten,Twin Room,Yes,No,"₹ 9,329"
Hotel the YARD,Premium Double Room 18m²,No,Yes,"₹ 12,336"
Hotel Garni Aaberna,Double Room with Shower,No,Yes,"₹ 9,727"
Monteurbetten Berlin,Double Room with Private Bathroom,No,Yes,"₹ 7,441"
25hours Hotel Bikini Berlin,Medium Urban,No,Yes,"₹ 16,634"
Hotel BIRGIT Berlin Mitte,Double Room with Sofa Bed,Yes,No,"₹ 9,295"
Apartment Kastanienallee Rosenthal,One-Bedroom Apartment,Yes,No,"₹ 6,875"
Nu Wave Hotel Berlin,Standard Double Room,No,Yes,"₹ 7,561"
Hotel Pankow,Double or Twin Room,Yes,Yes,"₹ 7,553"
MEININGER Hotel Berlin East Side Gallery,Twin Room,Yes,No,"₹ 8,666"
One Way Apartment,Budget Double Room,No,Yes,"₹ 9,013"
Cosy Apartment at Prenzlauer Berg with Terrace and HeadphoneCinema,One-Bedroom Apartment,No,Yes,"₹ 7,814"
MEININGER Hotel Berlin Mitte,Twin Room,Yes,No,"₹ 10,612"
Nena Apartments - Kreuzberg 61,Studio,No,Yes,"₹ 10,346"
Hotel Ambiente Berlin City,Double Room,Yes,Yes,"₹ 6,637"
Tillmanns-Haus,Double Room,No,Yes,"₹ 6,945"
Living Hotel Berlin Mitte,Business Double Room,Yes,Yes,"₹ 10,583"
BIG MAMA Berlin,Standard Double Room,No,Yes,"₹ 9,367"
Anna 1908,Mini,No,Yes,"₹ 6,449"
Hotel & Apartments Zarenhof Berlin Prenzlauer Berg,Comfort Room,Yes,Yes,"₹ 9,236"
IBB Hotel Berlin-Airport,Double Room,No,Yes,"₹ 7,577"
Novum Hotel Kronprinz Berlin,Standard Double or Twin Room,Yes,Yes,"₹ 6,999"
Mercure Berlin Wittenbergplatz,Standard Queen Room,No,Yes,"₹ 12,177"
sly Berlin,Standard King Room,No,Yes,"₹ 14,526"
Central-Hotel Tegel,Budget Double Room,No,Yes,"₹ 8,351"
Abba Berlin Hotel,Double or Twin Room,Yes,Yes,"₹ 8,357"
Pension Peters – Das andere Hotel,Comfort Double Room,Yes,Yes,"₹ 8,785"
BNB Potsdamer Platz - Rooms & Apartments,Double or Twin Room with Shared Bathroom,Yes,Yes,"₹ 6,532"
Hotel Messe am Funkturm,Double or Twin Room,Yes,Yes,"₹ 5,797"
Lux 11 Berlin-Mitte,Standard Room,No,Yes,"₹ 14,604"
Mir hostel,Budget Twin Room,No,No,"₹ 3,423"
"art'otel berlin mitte, Powered by Radisson Hotels",Art Double Room,No,Yes,"₹ 12,292"
Good Morning Berlin City West,Standard Double Room,No,Yes,"₹ 5,482"
KPM Hotel & Residences,Superior,No,Yes,"₹ 15,527"
Hotel City Green Berlin,Doppelzimmer comfort,Yes,No,"₹ 7,607"
Nena Apartments - Bergmannkiez ehm Traumbergflats,Comfort Apartment,No,Yes,"₹ 8,104"
Hotel Rossi,Standard Double Room,No,Yes,"₹ 14,060"
Hotel Atrium Charlottenburg,Double or Twin Room,Yes,Yes,"₹ 5,306"
Scandic Berlin Kurfürstendamm,Standard Double Room,Yes,Yes,"₹ 10,253"
Sheraton Berlin Grand Hotel Esplanade,Classic Double Room,No,Yes,"₹ 14,060"
CLUB Lodges Berlin Mitte,Twin-Bed Cottage with Shared Bathroom,Yes,No,"₹ 5,491"
AMERON Hotel Abion Spreebogen Berlin,Standard Double Room,No,Yes,"₹ 12,898"
Hotelpension Margrit,Double Room with shared toilet and private shower,No,Yes,"₹ 5,734"
Happy Go Lucky Hotel + Hostel,Double Room with Private Bathroom,Yes,No,"₹ 6,036"
PREMIUM Hostel,Double Room with Private Bathroom,No,Yes,"₹ 6,190"
Schöneberg 1BR direttamente nel parco am Gleisdreieck,One-Bedroom House,No,Yes,"₹ 9,922"
LINDEMANN'S,Quiet & Small,No,No,"₹ 10,914"
Hotel Residenz Begaswinkel,Souterrain Room,No,Yes,"₹ 11,850"
West Side Story 5,One-Bedroom Apartment,Yes,Yes,"₹ 8,186"
numa l Drift Rooms & Apartments,Double Room,No,Yes,"₹ 10,914"
icke.apartments,Family Studio,No,No,"₹ 5,300"
EastSeven Berlin Hostel,Double Room,No,Yes,"₹ 9,504"
Hotel AI Königshof,Double Room,No,Yes,"₹ 5,891"
Apartment Rochstrasse Berlin,One-Bedroom Apartment (2 Adults),No,Yes,"₹ 7,111"
Schlosspark Hotel,Double or Twin Room with Sofa Bed,Yes,No,"₹ 13,147"
Hotel Central Inn am Hauptbahnhof,Economy Double Room with Shared Toilet,Yes,Yes,"₹ 7,517"
Novotel Suites Berlin City Potsdamer Platz,Suite with One Double Bed and Sofa,Yes,Yes,"₹ 14,149"
Lulu Guldsmeden,Comfy Sky,No,Yes,"₹ 11,980"
Homely loft style Apartment in Berlin Wilmersdorf,Apartment,No,Yes,"₹ 11,659"
B&B Hotel Berlin-Charlottenburg,Double Room,No,Yes,"₹ 7,690"
Victor's Residenz-Hotel Berlin Tegel,Standard Double or Twin Room,Yes,No,"₹ 8,224"
Flattering - Berlin,Two-Bedroom Apartment,Yes,Yes,"₹ 11,493"
Mikon Eastgate Hotel - City Centre,Budget Double or Twin Room,Yes,Yes,"₹ 8,682"
BNB near Brandenburg Gate - Rooms & Apartments,Triple Room with Shared Bathroom,No,No,"₹ 7,879"
Great 1-room Loft,One-Bedroom Apartment,No,Yes,"₹ 9,971"
Ootel.com,Double Room with Private Bathroom,No,Yes,"₹ 6,004"
Grünau Hotel,Double Room,No,Yes,"₹ 9,412"
Hotel 38,Comfort Triple Room,Yes,Yes,"₹ 18,703"
Novum Hotel City B Berlin Centrum,Standard Double Room,No,Yes,"₹ 8,212"
City Pension Berlin,Double Room with Private Shower and Shared Toilet,Yes,No,"₹ 6,133"
Living Hotel Großer Kurfürst,Business Double Room,No,Yes,"₹ 9,432"
Nice apartment in Mitte Berlin15,One-Bedroom Apartment,Yes,Yes,"₹ 23,151"
Charming apartment in the center of Berlin 2142,Two-Bedroom Apartment,Yes,No,"₹ 28,112"
Nice flat in the heart of Berlin 2141,Two-Bedroom Apartment,Yes,No,"₹ 28,112"
Luxury flat in the heart of Berlin 2131,Two-Bedroom Apartment,Yes,No,"₹ 28,112"
Flat with terrace in the heart of Berlin 2121,Two-Bedroom Apartment,Yes,No,"₹ 28,112"
Apartment in the center of Berlin 2012,Three-Bedroom Apartment,Yes,No,"₹ 33,073"
Cozy apartment in the center of Berlin 23,One-Bedroom Apartment,Yes,No,"₹ 26,458"
Nice apartment in Mitte Berlin 25,Two-Bedroom Apartment,Yes,No,"₹ 28,112"
Stylish apartment in the center of Berlin 52,One-Bedroom Apartment,Yes,No,"₹ 33,073"
Pure Berlin Apartments - Luxury at Pure Living in City Center,Deluxe Apartment,No,Yes,"₹ 13,394"
Bölsche Hotel,Deluxe Double Room,No,Yes,"₹ 11,677"
STAYERY Berlin Friedrichshain,Studio,No,Yes,"₹ 12,668"
Nena Apartments Metropolpark Berlin - Mitte -Adult Only,Studio,No,Yes,"₹ 11,162"
Hapimag Berlin Gendarmenmarkt,Budget One-Bedroom Apartment,Yes,No,"₹ 21,578"
Apartments im Thüringer Hof,Comfort Apartment,No,Yes,"₹ 18,491"
Hausboot DeLuxe,Mobile Home,No,Yes,"₹ 24,722"
Arabel Design Apartments,Studio Compact,No,Yes,"₹ 19,808"
Hotel Nikolai Residence,Double Room,Yes,No,"₹ 18,935"
AMC Hotel - Schöneberg,Economy Double Room,No,Yes,"₹ 11,837"
Casa Camper Berlin,Deluxe Double Room with City View,No,Yes,"₹ 21,497"
Melarose Feng Shui Hotel,Double Room,No,Yes,"₹ 11,596"
Hotel Mit-Mensch,Standard Double Room,No,Yes,"₹ 8,755"
Ringhotel Seehof,Standard Double Room with Lake View,No,Yes,"₹ 10,418"
Flower's Berlin by limehome - Digital Access,One-Bedroom Suite,No,Yes,"₹ 16,890"
Aparthotel VEGA,Double or Twin Room,Yes,Yes,"₹ 9,641"
Louisa's Place,Superior Room,No,Yes,"₹ 24,937"
Les Nations,Standard Double Room,Yes,No,"₹ 10,363"
Hotel Neuer Fritz,Double Standard,No,Yes,"₹ 9,921"
Hotel Seifert Berlin am Kurfürstendamm,Standard Double or Twin Room,Yes,Yes,"₹ 10,459"
The Mandala Hotel,Studio,No,Yes,"₹ 19,347"
Hotel Sachsenhof,Double Room,No,Yes,"₹ 10,965"
Kurfürst am Kurfürstendamm,Economy Double Room with Shower,No,Yes,"₹ 10,381"
Hotel Brandies an der Messe,Comfort Double Room,No,Yes,"₹ 15,627"
Schoenhouse Avenue - Digital Access,Comfort Suite with Sofa Bed,No,Yes,"₹ 17,686"
Hotel Kastanienhof,Standard Double Room,No,Yes,"₹ 15,709"
centrovital Hotel Berlin,Superior Double Room,Yes,No,"₹ 15,318"
SORAT Hotel Berlin,Double Room Pure,Yes,No,"₹ 10,344"
Aparthotel Adagio Berlin Kurfürstendamm,One-Bedroom Apartment,No,Yes,"₹ 33,416"
Myer's Hotel Berlin,Small Comfort Double or Twin Room,Yes,Yes,"₹ 16,854"
Hotel B1,Double Room Annex,No,Yes,"₹ 6,698"
Wunderschöne Apartments in Berlin,One-Bedroom Apartment,No,Yes,"₹ 7,959"
mk hotel berlin,Economy Double Room,No,Yes,"₹ 7,203"
Atlas Berlin Hotel,Double Room,No,Yes,"₹ 8,065"
Hotel Morgenland,Double or Twin Room,Yes,Yes,"₹ 8,755"
Hotel Pension Xantener Eck,Double Room,Yes,Yes,"₹ 5,891"
Hotel Chateau Kurfürstendamm,Standard Double Room,Yes,No,"₹ 8,483"
Enjoy Hotel am Studio,Double or Twin Room,Yes,Yes,"₹ 8,103"
URBAN LOFT Berlin,Standard Double Room,No,Yes,"₹ 9,980"
Hotel Novalis,Double or Twin Room,Yes,Yes,"₹ 7,782"
ADELANTE Boutique Hotel,Adelante Standard,No,Yes,"₹ 12,402"
Hotel AMANO Rooms & Apartments,Double Room,Yes,Yes,"₹ 10,873"
fjord hotel berlin,Lovely M,Yes,Yes,"₹ 9,756"
Hotel 1A Apartment Berlin,Quadruple Room,No,Yes,"₹ 6,408"
Select Hotel Berlin Gendarmenmarkt,Business Room,No,Yes,"₹ 11,922"
Vienna House Easy by Wyndham Berlin Prenzlauer Berg,Comfort Twin Room,Yes,No,"₹ 8,111"
Hotel ZOE by AMANO,Double Room,No,No,"₹ 12,017"
Henri Hotel Berlin Kurfürstendamm,Salon Double Room,No,Yes,"₹ 18,305"
Mercure Hotel & Residenz Berlin Checkpoint Charlie,Large Double Room,No,Yes,"₹ 12,026"
Hotel Grenzfall,Double Room,Yes,No,"₹ 10,877"
HOLI-Berlin Hotel,Double or Twin Room with Shared Bathroom,Yes,Yes,"₹ 6,615"
Bornholmer Hof im Prenzlauer Berg,Double Room,Yes,Yes,"₹ 9,904"
Boutique Hotel Kerlin,Standard Room,No,Yes,"₹ 8,682"
Hotel Herbst Berlin,Standard Double Room,No,Yes,"₹ 10,749"
Hotel und Rasthof AVUS,Double or Twin Room,Yes,Yes,"₹ 8,546"
Boutique Hotel Château Royal,Superior Double Room,No,Yes,"₹ 25,202"
Art Apartments,Superior Queen Room with Two Queen Beds,No,Yes,"₹ 10,833"
Hotel Arena Rooms - Berlin Mitte,Double Room,No,Yes,"₹ 6,765"
COSMO Hotel Berlin Mitte,Comfort Double Room,Yes,Yes,"₹ 14,387"
The Circus Hostel,Deluxe Double Room with Balcony,No,Yes,"₹ 13,868"
martas Hotel Allegra Berlin,Double Room,No,Yes,"₹ 17,314"
Amaya Motel,Standard Twin Room with Shared Bathroom,Yes,Yes,"₹ 6,788"
Amaya Motel,Standard Twin Room with Shared Bathroom,Yes,Yes,"₹ 6,788"
Hotel-Maison Am Olivaer Platz,Standard Double or Twin Room,Yes,Yes,"₹ 6,176"
Hotel-Pension Rheingold am Kurfürstendamm,Triple Family Room,Yes,No,"₹ 6,780"
Hotel Bleibtreu Berlin by Golden Tulip,Standard Queen Room,No,Yes,"₹ 7,855"
Hotel BELLEVUE am Kurfürstendamm,Double or Twin Room,No,Yes,"₹ 7,855"
Lake Side Park/Historic/BER/THF,One-Bedroom Apartment,No,Yes,"₹ 12,606"
Hotel Castell am Kurfürstendamm,Double or Twin Room,Yes,Yes,"₹ 7,441"
the niu Dwarf,Standard Double Room,No,Yes,"₹ 13,944"
Hotel-Pension Victoria,Triple Room with Private External Bathroom,No,No,"₹ 5,412"
Art Nouveau Hotel am Kurfürstendamm,Comfort Double Room,No,Yes,"₹ 13,543"
Hotel am Schloß Köpenick by Golden Tulip,Standard King Room,No,Yes,"₹ 6,036"
Ocak Hotel,Comfort Double or Twin Room,Yes,Yes,"₹ 7,192"
RixHouse Hostel,Double Room with Private Bathroom,No,Yes,"₹ 7,393"
Businesshotel Berlin,Standard Double Room,No,Yes,"₹ 7,688"
Hotel Arena Inn - Berlin Mitte,Double Room,No,Yes,"₹ 7,069"
Vienna House by Wyndham Andel's Berlin,King Room - Accessible,No,Yes,"₹ 9,599"
Hotel Schöneberg,Double Room Hotdeal non-refundable,No,Yes,"₹ 10,258"
Waterside Cabin,One-Bedroom Apartment,No,Yes,"₹ 7,739"
Solitaire Hotel,Standard Double Room,Yes,No,"₹ 11,938"
Hotel Eckstein,Double Room,Yes,Yes,"₹ 7,359"
Select Hotel Berlin Spiegelturm,Comfort Room,Yes,Yes,"₹ 8,617"
CALMA Berlin Mitte,Calma M,Yes,Yes,"₹ 10,087"
Apple City Hotel,Double or Twin Room,Yes,Yes,"₹ 7,359"
Bob W Mitte,Standard Double Room,No,Yes,"₹ 12,402"
Cosy Box at Boxhagener Platz,Apartment,No,No,"₹ 9,178"
Cosy Box at Boxhagener Platz,Apartment,No,No,"₹ 9,178"
Hotel St.-Michaels-Heim,Economy Twin Room,Yes,No,"₹ 13,502"
The Faces Berlin,Classic Apartment,No,Yes,"₹ 8,682"
Hotel Albertin,Triple Room,No,Yes,"₹ 9,727"
Yggotel Ravn,Standard Double Room,Yes,No,"₹ 8,206"
Apartmently - Cozy Studios in the Heart of Friedrichshain,Budget Double Room,No,Yes,"₹ 6,102"
limehome Berlin Müllerstraße - Digital Access,Suite - barrier-free,No,Yes,"₹ 10,346"
Hotel Alt - Tegel,Double Room,Yes,No,"₹ 9,426"
Alper Hotel am Potsdamer Platz,Twin Room,Yes,No,"₹ 7,028"
Adina Apartment Hotel Berlin Mitte,Studio,Yes,Yes,"₹ 12,452"
Pfefferbett Hostel,Double Room,No,Yes,"₹ 8,229"
AMANO HOME Apartments,Studio Apartment M,No,Yes,"₹ 12,256"
Hollywood Media Hotel am Kurfürstendamm,Deluxe Double or Twin Room,Yes,Yes,"₹ 9,671"
Hotel Nova,Standard Double or Twin Room,Yes,Yes,"₹ 6,325"
Hotel Arche,Double or Twin Room,No,Yes,"₹ 6,325"
Select Hotel Berlin Checkpoint Charlie,Superior Double Room,No,Yes,"₹ 9,600"
Flottwell Berlin Hotel & Residenz am Park,Double Room with Kitchenette,Yes,No,"₹ 9,816"
Seehotel Grunewald,Double Room with Lake View,No,Yes,"₹ 10,435"
Hotel Lindenufer,Double Room,No,Yes,"₹ 11,054"
Capri by Fraser Berlin,Deluxe Studio,No,Yes,"₹ 10,788"
Hotel Sedes,Double Room,No,Yes,"₹ 12,292"
Pension Am Park,Double Room with Private Bathroom,No,Yes,"₹ 6,185"
K&S Apartments,Apartment - Split Level,No,Yes,"₹ 5,972"
Hotel Die Schule,Small Maisonette Studio,Yes,No,"₹ 10,983"
Hotel Amadeus ROYAL Berlin,Standard Business Double Room,No,Yes,"₹ 7,428"
Sunflower Hostel Berlin,Double Room with Private Bathroom,No,Yes,"₹ 9,255"
Adina Apartment Hotel Berlin Checkpoint Charlie,Studio,No,Yes,"₹ 13,287"
Hüttenpalast,Caravan or Cabin,No,Yes,"₹ 8,357"
Apartment Berlin Paul-Robeson-Straße,Standard Suite,No,Yes,"₹ 10,346"
ArtHotel Connection,Double Room,No,Yes,"₹ 10,211"
Selina Berlin Mitte,Double Room,No,Yes,"₹ 17,323"
The Circus Hotel,Small Plus (max 2 pax),No,Yes,"₹ 15,918"
GINN City & Lounge Yorck Berlin !New!,Standard Double Room,No,Yes,"₹ 13,478"
Hotel Amelie Berlin,Double Room,No,Yes,"₹ 14,591"
Jasper's Boutique Hotel,Double Room,No,Yes,"₹ 9,727"
Upper Deluxe Berlin,One-Bedroom Apartment,No,Yes,"₹ 13,394"
numa I Arc Rooms & Apartments,Double Room - Disability Access,No,Yes,"₹ 12,485"
Hotel Klassik Berlin,Comfort Doppelzimmer,Yes,Yes,"₹ 11,906"
Hotel Abendstern,Double or Twin Room,No,Yes,"₹ 6,325"
"One Private room available in a two room apartment in Tegel, Berlin",Double Room with Shared Bathroom,No,Yes,"₹ 4,961"
Happy Hotel Berlin,Double Room with Private Bathroom,Yes,No,"₹ 8,843"
Hotel Pension Dahlem,Double Room with Shared Bathroom,No,Yes,"₹ 7,897"
Erlanger Hof,Twin Room,Yes,No,"₹ 8,519"
Schicke Loft- Erhabener Luxus im Herzen von Berlin,Three-Bedroom Apartment,No,Yes,"₹ 16,192"
Hotel Kallmeyer,Triple Room,No,No,"₹ 10,666"
Boutique Altbau Apartment,Two-Bedroom Apartment,No,Yes,"₹ 6,398"
Hotel 26,Double Room,No,No,"₹ 10,523"
Hotel Villa Kastania,Standard Double Room with Balcony or Terrace,Yes,Yes,"₹ 9,178"
Hotel Pension Bregenz,Double Room with Private Bathroom,No,Yes,"₹ 8,764"
Hotel Alter Markt,Double Room,Yes,No,"₹ 9,869"
Hotel Nest,Double Room,No,Yes,"₹ 8,021"
Boutique Hotel Sena,Twin Room with Shared Bathroom,Yes,No,"₹ 5,425"
numa l Sketch Rooms & Apartments,Deluxe Double Room,No,Yes,"₹ 12,072"
Hotel-Pension Spree,Triple Room with Shared Bathroom,Yes,No,"₹ 5,705"
Select Hotel Berlin The Wall,Comfort Double Room,No,Yes,"₹ 13,944"
Hotel Am Stuttgarter Eck,Double Room with Shower and Shared Toilet,Yes,Yes,"₹ 5,705"
St Christopher's Inn Berlin Mitte,Budget Twin Room with Private Bathroom,No,No,"₹ 8,095"
Precise Tale Berlin Potsdamer Platz,Standard Room,No,Yes,"₹ 13,960"
limehome Berlin Malmöer Straße,Suite,No,Yes,"₹ 10,346"
"Schillinger-Berlin - dance, sleep, repeat!",Double or Twin Room with Bathroom,Yes,Yes,"₹ 9,509"
Apartment Abendstern,Family Apartment,Yes,Yes,"₹ 9,302"
Botschaft,Double or Twin Room,No,No,"₹ 8,682"
Hotel Himmel und Havel,Comfort Triple Room with Shower,Yes,No,"₹ 10,505"
Hotel Dori´s 108,Double Room,No,Yes,"₹ 7,367"
Boxi Studios Berlin,Standard Triple Studio,No,Yes,"₹ 13,064"
Orania.Berlin,Small Double Room with Courtyard View (Orania.21),No,Yes,"₹ 19,366"
ipartment Berlin Mitte,Standard Studio,No,Yes,"₹ 11,670"
Honigmond Boutique Hotel,Double Room,No,Yes,"₹ 14,800"
Apartments-Maison Am Olivaer Platz,Apartment (3 Adults),Yes,No,"₹ 8,557"
NeoHostel,Double or Twin Room,No,No,"₹ 5,126"
City Hotel am Kurfürstendamm,Standard Triple Room,Yes,Yes,"₹ 7,367"
Hotel Ambert,Double Room with Shared Bathroom,No,Yes,"₹ 8,401"
Garden Boutique Hotel,Double Room,No,Yes,"₹ 13,560"
MEININGER Hotel Berlin Alexanderplatz,Twin Room,Yes,No,"₹ 8,931"
nhow Berlin,Nhow Double/Twin Room,Yes,Yes,"₹ 10,700"
MEININGER Hotel Berlin Alexanderplatz,Twin Room,Yes,No,"₹ 8,931"
nhow Berlin,Nhow Double/Twin Room,Yes,Yes,"₹ 10,700"
"Wilde Aparthotels by Staycity, Berlin, Checkpoint Charlie",One Bedroom Apartment,No,Yes,"₹ 20,923"
Studios ElPilar Friedrichshain,Studio with Terrace,No,Yes,"₹ 9,674"
Hotel Villa Konstanz,Double Room,No,Yes,"₹ 10,523"
Hotel Landhaus Schlachtensee,Double Room,No,Yes,"₹ 11,496"
Eastern & Western Berlin Boat GmbH,Western Comfort Ship - Double Cabin with Shared Bathroom,No,Yes,"₹ 6,838"
Neu-Helgoland,Double Room,No,Yes,"₹ 9,108"
Alte Feuerwache,Standard Twin Room,Yes,No,"₹ 7,111"
DAS SCHMÖCKWITZ,Economy Double Room,Yes,Yes,"₹ 8,599"
Schoenhouse City Street,Suite with Balcony,No,Yes,"₹ 14,326"
Townhouse Berlin,City Studio,No,Yes,"₹ 12,898"
Stilvolle Wohnung im Zentrum von Berlin,Three-Bedroom House,No,Yes,"₹ 7,143"
Adina Apartment Hotel Berlin Hackescher Markt,Double Standard,No,Yes,"₹ 11,067"
Landhaus Alpinia,Double Room,No,Yes,"₹ 9,639"
Hotel Eden am Zoo,Standard Double or Twin Room,Yes,Yes,"₹ 9,126"
36 Rooms Hostel Berlin Kreuzberg,Double Room with Shared Bathroom,No,Yes,"₹ 6,325"
Hotel-Pension Insor,Double or Twin Room,Yes,Yes,"₹ 6,615"
The Weinmeister Berlin-Mitte - Adults Only,Standard Room,No,Yes,"₹ 12,999"
Hotel Astrid am Kurfürstendamm,Comfort Double Room,No,Yes,"₹ 7,739"
Gästehaus Alpinia,Double Room with Private Bathroom,Yes,Yes,"₹ 8,103"
numa I Nook Rooms & Apartments,Superior Double Room,No,Yes,"₹ 14,387"
Charmante Unterkunft in Kreuzberg,One-Bedroom Apartment,No,Yes,"₹ 4,112"
Great Apartment close to Kudamm,Apartment,Yes,Yes,"₹ 13,312"
ADAPT APARTMENTS BERLIN - Adlershof,Studio Apartment,Yes,No,"₹ 12,489"
"Singer109 Hostel, Hotel & Apartment",Twin Room En-Suite,Yes,No,"₹ 9,418"
City Hotel Ansbach am KaDeWe,Double Room with Private Bathroom,No,Yes,"₹ 7,517"
Hotel Gasteiner Hof,Deluxe Room,No,Yes,"₹ 6,765"
Ark am Hauptbahnhof,Budget Family Room (2 Adults + 1 Child),No,Yes,"₹ 9,727"
Gästehaus Lazarus,Standard Double Room,Yes,No,"₹ 13,972"
Bright 2 bedroom with balcony in BCN Center,Two-Bedroom House,No,Yes,"₹ 5,566"
Kudamm Apartments,Studio,No,Yes,"₹ 8,103"
Hotel Amadeus Central,Double Room with Shared Bathroom,No,Yes,"₹ 6,986"
Hotel Benn,Double Room,Yes,Yes,"₹ 14,800"
numa I Novela Rooms & Apartments,Double Room,No,Yes,"₹ 9,840"
Hotel Kubrat an der Spree,Twin Room,Yes,No,"₹ 9,904"
Pension Majesty,Basic Triple Room,Yes,Yes,"₹ 7,359"
Classik Hotel Alexander Plaza,Premium Double or Twin Room,No,Yes,"₹ 13,179"
Central unique BerlinHouse in Berlin/Köpenick,One-Bedroom Apartment,No,Yes,"₹ 5,622"
Hotel Alex Berlin,Standard Double Room,No,Yes,"₹ 8,755"
Kant 99 XL,One-Bedroom Apartment,No,Yes,"₹ 16,966"
Hotel Haus Bismarck,Double Room,Yes,No,"₹ 11,733"
Wunderschöne Wohnung im Zentrum von Berlin,Two-Bedroom Apartment,No,Yes,"₹ 5,286"
Hotel am Buschkrugpark,Double Room,No,Yes,"₹ 10,666"
Hotel Bett und Buch,Budget Double Room,Yes,No,"₹ 8,599"
Pension Oase,Twin Room with Shared Bathroom,Yes,No,"₹ 7,074"
Midi Inn Parkhotel Mitte,Family Room,No,Yes,"₹ 10,170"
Hotel Bohemia,Double Room,No,Yes,"₹ 9,095"
Hostel 199,Quadruple Room with Bathroom,Yes,No,"₹ 9,674"
Rocco Forte Hotel De Rome,Classic Double or Twin Room,No,Yes,"₹ 31,516"
Hostel 199,Quadruple Room with Bathroom,Yes,No,"₹ 9,674"
Rocco Forte Hotel De Rome,Classic Double or Twin Room,No,Yes,"₹ 31,516"
The Rix Studios & Suites near SBahn Neukölln,Studio with Sofa Bed,No,Yes,"₹ 11,162"
Hotel Ambassador-Berlin Grünau,Double Room,No,Yes,"₹ 9,347"
Raja Jooseppi Apartments - Spittelmarkt Historische Mitte,"One-Bedroom Apartment with living room, kitchenette and balcony",No,Yes,"₹ 8,111"
Cozy Apartment with Cinema and Terrace &VRGlasses,Two-Bedroom Apartment,No,Yes,"₹ 27,571"
Hotel AVAlex,Economy Quadruple Room,Yes,No,"₹ 14,056"
Hotel Grand Inn,Double Room with Private Bathroom,No,No,"₹ 9,471"
Cozy flat near Ku'damm with free parking,One-Bedroom Apartment,No,Yes,"₹ 8,334"
Apartments Berlin Leberstraße 58,Deluxe Suite,No,Yes,"₹ 12,911"
enjoy hotel Berlin City Messe,Comfort Double or Twin Room,Yes,Yes,"₹ 8,103"
Seminar- und Gästehaus Flussbad Gartenstrasse,Twin Room,Yes,No,"₹ 11,407"
Hostel VITA Berlin,Double Room with Private Bathroom,No,Yes,"₹ 8,986"
Motel Home Wittenau,Double Room - Disability Access,No,Yes,"₹ 8,517"
Wil7 Boutique Hotel,Studio,No,Yes,"₹ 13,607"
Parlamento Rooms,Double Room,No,Yes,"₹ 4,819"
Deine wunderschöne Oase mitten in Berlin,One-Bedroom Apartment,No,Yes,"₹ 5,209"
Linnen,Small Double Room,No,Yes,"₹ 13,634"
Gorki Apartments,Studio Apartment - 3,No,Yes,"₹ 17,664"
Das Literaturhotel Berlin,Deluxe Double Room,No,No,"₹ 18,570"
Căn hộ có đầy đủ tiện nghi,Two-Bedroom Apartment,Yes,Yes,"₹ 11,832"
Goodman's Living,Studio Apartment M,Yes,Yes,"₹ 8,962"
Hotel Bonverde (Wannsee-Hof),Double Room,No,Yes,"₹ 7,517"
Monbijou Hotel,Standard Double Room,No,Yes,"₹ 18,153"
SensCity Hotel Berlin Spandau,Standard Double Room SensBase,Yes,Yes,"₹ 10,344"
Airporthotel Berlin-Adlershof,Double Room,Yes,No,"₹ 8,682"
City Inn,Double Room,No,No,"₹ 6,367"
Apartmenthaus Berlin Mitte,Deluxe Studio,No,Yes,"₹ 12,237"
280qm Kudamm Loft,Two-Bedroom Apartment,No,Yes,"₹ 32,090"
Hotel hostel Zafir,Budget Double Room,Yes,No,"₹ 7,074"
numa I Belfort Rooms & Apartments,Double Room,No,Yes,"₹ 17,446"
Penthouse an der Dahme,Two-Bedroom Apartment,No,Yes,"₹ 42,703"
Hotel-Pension Lydia,Double Room,No,Yes,"₹ 9,818"
the niu Flash,Standard Double Room,Yes,No,"₹ 12,362"
Pegasus Hostel Berlin,Comfort Double Room,Yes,No,"₹ 8,732"
"Zentrales Apartment: Kreuzberg, Berlin",One-Bedroom Apartment,No,Yes,"₹ 8,267"
Garden Living - Boutique Hotel,Standard Double Room,No,Yes,"₹ 16,726"
Luxury Apartments in Berlin - Luka's apartments by Arbio,Deluxe Apartment,No,Yes,"₹ 10,355"
Modern Fancy Apartments Berlin City Center,Deluxe Apartment,Yes,Yes,"₹ 37,124"
BIG 4ROOMS CENTRAL CITY APARTMENT KURFÜRSTENDAMM,Three-Bedroom Apartment,Yes,No,"₹ 24,557"
Grand Central City Apartments Mitte Rosenthaler Platz,Standard Triple Studio,Yes,No,"₹ 12,320"
BIG Trendy Apartments City Center,Deluxe Apartment,Yes,Yes,"₹ 28,856"
Telegraphenamt,Double Room,No,Yes,"₹ 30,385"
Hotel Vita Berlin-Messe,Standard Double Room,No,Yes,"₹ 11,070"
