Hotel Name,Free WiFi,Family rooms,Non-smoking rooms,Restaurant,Bar,Heating,Lift,Breakfast Cuisine 1,Breakfast Cuisine 2,Breakfast Cuisine 3
Hyatt Regency Manchester,no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
Velvet Hotel,no,no,yes,no,yes,no,no,Continental,,
the niu Loom,no,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
ibis Budget Manchester Centre Pollard Street,yes,yes,no,no,no,yes,yes,Continental,Vegetarian,
"Holiday Inn Express Manchester City Centre Arena, an IHG Hotel",no,no,yes,no,yes,yes,no,Continental,Vegetarian,Vegan
INNSiDE by Meliá Manchester,no,no,no,yes,yes,no,no,Full English/Irish,,
Malmaison Manchester,no,no,yes,yes,yes,yes,no,Full English/Irish,Vegetarian,
Manchester Marriott Victoria & Albert Hotel,no,no,no,yes,yes,no,yes,Continental,Full English/Irish,Vegetarian
AC Hotel by Marriott Manchester Salford Quays,no,no,yes,no,yes,yes,yes,Full English/Irish,,
Maldron Hotel Manchester City Centre,no,no,yes,yes,yes,yes,no,Full English/Irish,,
Hilton Garden Inn Manchester Emirates Old Trafford,no,no,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
Native Manchester,no,yes,no,yes,yes,no,no,Full English/Irish,Vegetarian,Vegan
Leonardo Hotel Manchester Central - Formerly Jurys Inn,yes,no,yes,yes,yes,yes,no,Full English/Irish,,
The Lowry Hotel,no,no,no,yes,yes,no,no,Full English/Irish,,
Hyatt House Manchester,no,yes,yes,no,no,yes,no,Continental,Full English/Irish,Vegetarian
"Holiday Inn Express - Manchester - TRAFFORDCITY, an IHG Hotel",yes,no,yes,no,no,yes,no,Continental,Full English/Irish,Gluten-free
Wilde Aparthotels Manchester St. Peters Square,yes,no,yes,no,yes,yes,no,Continental,,
Hotel Brooklyn Manchester,no,no,yes,yes,yes,no,no,Full English/Irish,Vegetarian,American
Dakota Manchester,no,no,yes,yes,yes,yes,no,Full English/Irish,,
The Townhouse Manchester,no,no,yes,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
ibis Manchester Centre Princess Street,yes,no,yes,yes,yes,yes,no,Continental,Full English/Irish,
CitySuites Aparthotel,no,no,yes,yes,no,no,no,Vegetarian,Vegan,Gluten-free
Bowling Green,yes,no,yes,yes,yes,no,no,,,
"Hotel Football, Old Trafford, a Tribute Portfolio Hotel",no,yes,yes,no,yes,yes,no,Continental,Full English/Irish,
DoubleTree by Hilton Manchester Piccadilly,no,no,no,yes,yes,no,yes,Continental,Full English/Irish,Vegetarian
ibis Manchester Centre 96 Portland Street,yes,no,yes,no,yes,no,yes,Continental,Full English/Irish,Vegetarian
Staycity Aparthotels Manchester Piccadilly,yes,yes,yes,no,yes,yes,no,,,
ibis Styles Manchester Portland,no,no,yes,yes,yes,yes,no,Continental,Vegetarian,Gluten-free
"Holiday Inn Manchester West, an IHG Hotel",no,no,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
"Holiday Inn Express Manchester - Salford Quays, an IHG Hotel",no,yes,yes,no,yes,yes,no,Continental,Vegetarian,
The Midland,no,no,no,no,yes,no,no,Full English/Irish,,
"Trafford Hall Hotel Manchester, Trademark Collection by Wyndham",yes,yes,no,yes,no,yes,no,Full English/Irish,Vegetarian,Vegan
Hotel Gotham,no,no,yes,yes,yes,yes,no,Continental,Full English/Irish,Vegetarian
Manchester Piccadilly Hotel,no,no,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
"Holiday Inn Manchester-Mediacityuk, an IHG Hotel",no,no,no,yes,yes,yes,no,Continental,Full English/Irish,Vegetarian
Roomzzz Manchester Victoria,yes,no,yes,no,no,yes,yes,,,
CitySuites Aparthotel,no,no,yes,yes,no,no,no,Vegetarian,Vegan,Gluten-free
Forty-Seven,no,no,yes,yes,yes,yes,no,Continental,Full English/Irish,Vegetarian
The Waterside Hotel and Leisure Club,no,no,no,no,no,no,no,Full English/Irish,Vegetarian,Vegan
Novotel Manchester Centre,no,yes,no,no,yes,no,no,Continental,Full English/Irish,Vegetarian
The Cow Hollow Hotel,yes,no,yes,no,yes,yes,no,,,
The Ultimate Hen Suite with Bar & Makeup Room,yes,no,yes,no,no,yes,no,,,
Staycity Aparthotels Manchester Piccadilly,yes,yes,yes,no,yes,yes,no,,,
The Ashcroft Apartments,yes,no,yes,no,no,yes,no,,,
Abel Heywood Boutique Hotel,no,no,no,yes,yes,yes,no,Continental,Full English/Irish,Vegetarian
"The Edwardian Manchester, A Radisson Collection Hotel",no,no,no,no,yes,no,no,Full English/Irish,,
The Gardens Hotel,yes,no,yes,yes,yes,yes,yes,Full English/Irish,,
Castlefield Hotel,no,no,no,no,yes,yes,no,Continental,,
Milton Manchester Hotel,yes,no,yes,no,yes,no,yes,Full English/Irish,,
Church Street by Supercity Aparthotels,yes,yes,yes,no,no,yes,no,,,
ibis budget Manchester Salford Quays,no,no,yes,no,no,yes,no,Continental,Gluten-free,
Ville Hotel,yes,yes,yes,no,no,yes,no,,,
CitySuites Two Aparthotel,no,yes,no,no,no,yes,no,Full English/Irish,Vegetarian,Vegan
Stock Exchange Hotel,no,no,yes,no,yes,yes,no,Full English/Irish,,
Cove Minshull Street,yes,yes,yes,no,no,yes,yes,,,
The Alan,no,no,yes,yes,yes,yes,no,Full English/Irish,Vegetarian,Vegan
Mercure Manchester Piccadilly Hotel,no,no,no,no,yes,yes,yes,Full English/Irish,Vegetarian,Gluten-free
Britannia Hotel City Centre Manchester,no,yes,yes,no,yes,yes,no,Continental,Full English/Irish,
High Street Town House,yes,no,yes,no,no,yes,no,,,
Sachas Hotel Manchester,no,yes,yes,no,yes,yes,yes,Full English/Irish,,
The Bulls Head Hotel,yes,no,yes,no,no,yes,no,Continental,,
Roomzzz Manchester Victoria,yes,no,yes,no,no,yes,yes,,,
Tinapa Suites,yes,no,yes,no,no,no,no,,,
Stay Inn Manchester,yes,no,yes,no,yes,no,no,Continental,Full English/Irish,
easyHotel Manchester,yes,no,yes,no,no,yes,no,,,
Luther King House,yes,no,yes,no,no,yes,no,Continental,,
Campanile Manchester,no,no,yes,yes,yes,yes,no,Continental,Full English/Irish,Vegetarian
The Ultimate Hen Suite with Bar & Makeup Room,yes,no,yes,no,no,yes,no,,,
Crystal Home,yes,yes,yes,no,no,yes,no,,,
Hello Hotel,yes,yes,yes,no,no,yes,no,Vegetarian,Gluten-free,
Diamond Lodge,no,no,yes,no,yes,yes,yes,Full English/Irish,Vegetarian,Gluten-free
Airport Hotel Manchester,no,no,yes,yes,yes,no,no,Continental,Full English/Irish,
Miller & Carter Heaton Chapel by Innkeeper's Collection,yes,no,yes,yes,yes,yes,no,Full English/Irish,,
The Mitre Hotel,yes,yes,yes,yes,yes,yes,no,Continental,Full English/Irish,Vegetarian
Roomzzz Manchester City,yes,yes,yes,no,no,yes,no,,,
Eleven Didsbury Park Hotel,no,no,yes,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
Woodthorpe Hotel,yes,yes,yes,no,yes,no,no,,,
Leven Manchester,no,no,yes,no,yes,yes,no,,,
BrewDog DogHouse Manchester,yes,no,yes,no,yes,no,no,Full English/Irish,Vegetarian,Vegan
The Oddfellows Arms,no,no,yes,no,yes,yes,no,Continental,Vegetarian,Vegan
Hazeldean,yes,yes,no,no,no,yes,no,,,
"The Waterside Bar, Rooms & Restaurant",yes,no,yes,yes,yes,no,no,,,
Roomshala 133 Happy Residency - Champa Gali,yes,yes,yes,no,no,no,no,,,
Ventus by Vegas Inn Delhi Airport,yes,yes,yes,yes,no,no,no,Continental,Italian,Vegetarian
Hotel The Olive Near Delhi Airport,yes,yes,yes,no,no,no,no,Continental,Vegetarian,Buffet
The Ventus - A boutique Hotel@Delhi Airport,yes,yes,yes,no,yes,no,no,,,
Hotel The Tark Near IGI Airport Delhi,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Hotel The Raj New Delhi,yes,no,yes,no,no,no,no,Continental,Vegetarian,Asian
Hotel Caves A Family Hotel Near IGI Airport Delhi,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
HOTEL AMBIENCE DX PAHARGANJ NEW Delhi NEAR Rk ASHRAM METRO STATION,yes,yes,yes,no,no,no,no,Continental,,
Hotel Tripple Tree - Karol Bagh,no,no,yes,no,no,no,no,Continental,Vegetarian,Halal
City Walk Residency,yes,yes,no,no,no,no,yes,,,
Hotel Grand Suites By D Capitol,yes,no,yes,no,no,no,no,Continental,,
"Hotel Bricks, Karol Bagh, New Delhi",yes,no,yes,no,no,no,no,Continental,,
Hotel Classic - Near Nizamuddin Railway Station,yes,no,yes,no,yes,no,no,Vegetarian,,
"Staybook - Hotel City Stories - By Aira Xing, Paharganj, New Delhi",yes,no,no,no,no,no,no,Continental,Buffet,
Hotel FabStays - South Delhi,yes,no,yes,no,no,no,no,Buffet,,
Hotel Shri Vinayak at New Delhi Railway Station-By RCG Hotels,yes,yes,yes,no,no,no,no,Continental,,
Qutab Residency - Saket Metro,yes,yes,yes,no,no,no,no,Vegetarian,,
Hotel Neu Villa - Walk In from New Delhi Railway Station,yes,no,yes,no,no,no,no,Vegetarian,Breakfast to go,
Hotel Select City Inn,yes,yes,yes,no,no,no,yes,,,
Hotel Preet Palace -5 Mints Walk From Nizamuddin Railway Station,yes,yes,yes,no,no,no,no,,,
Hotel Olive New Delhi,yes,yes,yes,no,no,no,no,Buffet,,
Rupam Hotel,no,no,yes,no,no,no,no,Vegan,Halal,Asian
HOTEL MAYDA PRIME Near Delhi Airport,no,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
Hotel Pearl - Mahipalpur Delhi Airport,no,no,yes,no,no,no,no,Continental,,
Hotel Nitya Maharani ' Near New Delhi Railway Station ',yes,yes,no,no,no,yes,yes,Continental,Full English/Irish,Vegetarian
Hotel City Empire,yes,no,no,no,no,yes,no,Continental,Italian,Full English/Irish
Jyoti Mahal A Heritage Hotel - 05 Mins from New Delhi Railway Station,no,no,yes,yes,no,no,no,Continental,,
Luxury Rooms-In Hazrat Nizamuddin Railway Station,yes,yes,yes,no,no,no,no,Vegan,Breakfast to go,
Hotel Town Pallace Inn Patel Nagar New Delhi,yes,yes,yes,yes,no,no,no,Continental,,
Hotel Ananda,no,no,no,no,no,no,no,Continental,Buffet,
"Hotel Shivdev International, Near New Delhi Railway Station",yes,no,yes,no,no,no,yes,Full English/Irish,Vegetarian,Halal
Hindustan by Backpackers Heaven Near New Delhi Railway Station,yes,yes,yes,yes,no,no,no,,,
THE JUPITER - A boutique Airport Hotel,no,yes,yes,no,no,no,no,Continental,,
The Kiara Near Delhi Airport,yes,no,yes,no,no,no,no,Continental,,
Yes Boss By Backpackers Heaven Near New Delhi Train Station,yes,no,no,no,no,yes,no,,,
Hotel Decent Suites - Delhi Airport,yes,no,yes,no,no,no,no,Continental,,
Hotel Ritz,yes,no,no,no,no,yes,no,Halal,,
Hotel Ajanta,no,yes,no,no,no,no,yes,Continental,Vegetarian,
Hotel Krone Plaza Near Delhi Airport,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Frankstay By Hotel SAMRAT RESIDENCY 10 Mints Walking Distance Nizamuddin Railway Station,no,yes,no,no,no,no,no,Continental,,
Frankstay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,yes,yes,no,no,no,no,no,Continental,,
Roomshala 123 Happy Home Saket,yes,yes,no,no,yes,no,no,Vegetarian,,
"Hotel In Near Saket Metro, Champa Gali",yes,yes,yes,no,no,no,no,Vegetarian,,
Hotel Imperial Inn - Nehru Enclave,yes,yes,yes,no,no,no,no,,,
Hotel De Hocks Deluxe - New Delhi,no,no,yes,no,no,no,no,Continental,Vegetarian,
Hotel double RR Near New Delhi railway station,yes,yes,yes,yes,no,no,no,,,
Hotel Lotus Stay At Delhi Airport,yes,no,no,no,no,no,no,Continental,Vegetarian,Vegan
Hotel Aero Star Near Delhi Airport,yes,yes,yes,no,no,no,no,Vegetarian,Asian,
Tej palace Near IGI Airport,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Hotel Royal Mannat - Near Max Shalimar Bagh,yes,yes,yes,no,no,no,no,,,
Hari Piorko Inn Express,yes,yes,yes,yes,no,no,no,Continental,Vegetarian,Halal
Hotel LA CASA DELHI AIRPORT,no,yes,yes,no,no,no,no,Continental,Vegetarian,American
Hotel Emporio View,no,no,yes,no,no,no,no,Continental,Asian,Buffet
Hotel Festival Mahipalpur At Delhi Airport,no,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
Hotel Anand - Central Delhi,yes,no,no,no,no,no,no,Asian,American,Breakfast to go
Hotel Smart Plaza Delhi Airport,yes,yes,yes,no,no,no,no,Continental,Halal,
Hotel S B INN Paharganj,no,no,yes,no,no,no,no,,,
The Gold Regency - 02 Mins from New Delhi Railway Station,no,no,yes,yes,yes,no,no,Continental,Vegetarian,American
The Royal Rosette - Near Connaught Place,yes,no,yes,no,no,no,no,Breakfast to go,,
FabExpress JP Palace,yes,yes,yes,no,no,no,no,,,
Hotel Palm D'or,yes,no,no,no,no,yes,yes,Continental,Vegetarian,
Hotel Emporio Dx - New Delhi Railway Station - Paharganj,no,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
Hotel Red Castle - Karol Bagh,no,no,yes,yes,no,no,no,Continental,Asian,
Hotel Harsha International,yes,yes,no,no,no,no,yes,,,
Roomshala 134 Premium Rooms Saket,yes,yes,yes,no,no,no,no,Vegetarian,,
Hotel Shanti Plaza-by Haveliya Hotels,no,yes,no,no,no,no,no,Continental,Vegetarian,Halal
"Airport Hotel Grand, New Delhi",yes,yes,no,no,no,yes,no,Continental,Italian,Full English/Irish
FabHotel Skye Suites,no,no,yes,no,no,no,no,Continental,Vegetarian,American
The Leena International -by Haveliya Hotels,no,no,yes,no,no,no,no,Continental,,
Hotel Opera New Delhi,no,no,yes,no,no,no,no,Continental,Vegetarian,
Hotel King Plaza,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Hotel Star Villa - Budget Friendly,yes,no,yes,no,no,no,no,Vegetarian,Halal,Asian
The Kiara Near To Delhi Airport,no,no,yes,no,no,no,no,Continental,Vegetarian,American
Hotel Luxury Homes - Greater Kailash,yes,yes,yes,no,no,no,no,,,
Hotel Grand LA CASA Near IGI airport,no,yes,yes,no,no,no,no,Continental,,
"Treebo Tryst Rose Mallow - 9 Km Away From Arun Jaitley Stadium, Delhi",yes,yes,yes,yes,no,no,no,Continental,Vegetarian,
Ashoka International Hotel - Karol Bagh New Delhi,no,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
The Prime Balaji Deluxe @ New Delhi Railway Station,yes,no,no,no,no,yes,yes,Continental,Vegetarian,Halal
Hotel Pinky Villa - Walking Distance to NDLS Station & Metro Station,yes,no,no,yes,no,no,no,Continental,Asian,
Hotel Gaylord International - New Delhi,no,yes,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
HOTEL DELHI 55 @ NEW DELHI RAILWAY STATION,yes,no,yes,no,no,no,no,Asian,,
"Hotel Mahajan International, Delhi Airport",yes,no,yes,yes,no,no,no,Continental,Full English/Irish,Vegetarian
Anchal Dx,yes,no,yes,no,no,no,no,Continental,Vegetarian,American
Hotel Uptown,yes,no,yes,no,no,no,no,Vegetarian,,
Hotel Check-in - Dwarka Sec 23,yes,yes,yes,no,no,no,no,Vegetarian,,
Trimrooms Shipra @ New Delhi Railway Station,no,yes,yes,no,no,no,no,,,
Hotel Ambience Suite Near IGI Airport,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
"Cosy Grand, Near Chanakyapuri, Embassy Area",yes,no,yes,yes,no,no,no,Asian,,
Hotel Tej Palace Near Delhi Airport,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
FabHotel Blusky,yes,yes,yes,no,no,no,yes,Continental,,
FabExpress Le Continental,yes,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
HOTEL SINGH CONTINETAL,no,no,yes,no,no,no,no,Continental,Vegetarian,American
Hotel Cozy - Hauz Khas,yes,yes,yes,no,no,no,no,Vegetarian,,
Airport Hotel Tashree,no,no,no,yes,no,no,yes,Continental,Italian,Vegetarian
SCOOVEY The BMK Hotel & Banquets LOCAL ID ACCEPTED,no,no,yes,no,no,no,no,,,
HOTEL GEESONS INTERNATIONAL -New Delhi Railway Station,yes,yes,yes,no,no,no,no,Continental,Asian,American
Hotel Krishna Deluxe-By RCG Hotels,yes,yes,yes,no,no,no,no,Continental,,
NK Residency - Kalka ji,yes,yes,yes,no,no,no,no,,,
Hotel Royal Inn igi,yes,no,no,no,no,no,yes,Continental,Vegetarian,Vegan
FabHotel BMK Grand,no,no,no,no,no,no,yes,Continental,,
NK Residency - Kalka ji,yes,yes,yes,no,no,no,no,,,
FabHotel BMK Grand,no,no,no,no,no,no,yes,Continental,,
FabHotel White Klove Paharganj,yes,yes,yes,no,no,no,yes,Continental,Vegetarian,Vegan
Hotel Baba Deluxe -By RCG Hotels,no,yes,yes,no,no,no,no,Continental,,
Hotel Star - Near Delhi Airport,yes,yes,no,no,no,no,yes,,,
Premium rooms in Qutub - Saket,yes,yes,yes,no,no,no,no,Vegetarian,,
Olivia Stay,yes,no,yes,no,yes,no,no,Continental,Vegetarian,Asian
FabHotel Aashraye,yes,no,yes,no,no,no,no,Continental,Vegetarian,
Private Luxury Hygienic Rooms In Lajpat Nagar,yes,yes,yes,no,no,no,no,,,
Hotel Marina A Family Hotel Near IGI Airport BY AR,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
FabExpress JPM Harshdeep,yes,yes,yes,no,no,no,no,,,
Hotel Asian Blue IGi Airport Delhi,yes,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
The Mohit Guest House - New Delhi Railway Station - Paharganj,yes,yes,yes,no,no,no,no,Continental,Vegetarian,Gluten-free
Deluxe Room In Lajpat Nagar,yes,yes,yes,no,no,no,no,Vegetarian,,
Hotel Batra Home 5 Mint Walk From Nizamuddin Railway Station,no,no,yes,no,yes,no,no,Vegetarian,Asian,American
Grand Godwin Near NDLS Railway Station- Paharganj,yes,no,no,yes,no,no,no,Continental,Vegetarian,Asian
Hotel Parkway Deluxe,no,no,yes,no,no,no,no,Continental,Vegetarian,Asian
AEROCITY HOTEL J P PALACE IGI AIRPORT NEW Delhi,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Hotel Sai Miracle - 5 mint from New Delhi railway station,yes,no,no,no,no,no,no,,,
Staybook New Delhi Railway Station by Hotel Atlanta,no,no,yes,no,no,no,no,Continental,Italian,Vegetarian
Roomshala 126 Mannat Inn - Laxmi Nagar,yes,no,yes,no,yes,no,no,Vegetarian,Breakfast to go,
Frank Stay-Worth Near Rk Ashram Metro Station,yes,yes,yes,no,no,no,no,Continental,,
The Oak Plaza New Delhi,yes,yes,no,yes,no,no,no,Continental,Vegetarian,Vegan
FabHotel La Paz Stay B&B,yes,no,no,no,no,no,no,Vegetarian,,
The Oakland Plaza by Orion Hotels,no,no,no,no,no,no,no,Continental,,
OYO Townhouse 340 Jageer Palace Near Mayapuri Chowk,yes,no,no,no,no,no,no,Continental,,
"De Pavilion Hotel, Delhi Airport",yes,yes,no,yes,no,no,no,Continental,Italian,Vegetarian
Hotel Star Dx by Wood View Paharganj Delhi,yes,yes,yes,no,no,no,no,Continental,Vegetarian,Asian
Hotel Green Villa - Anand Vihar,yes,yes,yes,no,no,no,no,Vegetarian,,
"Treebo Trend Rockwell Plaza - 5 Km Away From Arun Jaitley Stadium, Delhi",yes,yes,yes,yes,no,no,no,Continental,Vegetarian,
Hotel Batra Home 5 Mint Walk From Nizamuddin Railway Station,no,no,yes,no,yes,no,no,Vegetarian,Asian,American
FabExpress Llyod House,yes,no,no,no,no,no,yes,Continental,,
Hotel Trans International - Near Delhi Airport,yes,yes,yes,no,no,no,yes,,,
Hotel Amar International,yes,yes,yes,no,no,no,no,,,
FabHotel Hexa Chhatarpur,yes,yes,yes,no,no,no,yes,Continental,,
The Gold Inn - Paharganj,no,no,no,no,no,no,no,Continental,,
Hotel Chalet At Saket Near PVR Cinema,no,yes,yes,no,no,no,no,Vegetarian,,
Hotel Green,yes,yes,yes,no,no,no,no,,,
Hotel Aura,yes,no,no,no,no,no,no,Continental,,
Roomshala 125 Hotel Maharaja Near Vishwavidyalaya,yes,yes,yes,no,yes,no,no,Vegetarian,,
Staybook Hotel Jai Balaji New Delhi Railway Station,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Hotel Tom - Jungpura Chruch Road,yes,yes,yes,no,no,no,no,,,
FabHotel Chattarpur Enclave,yes,no,yes,no,no,no,no,Continental,Vegetarian,
FabExpress Marigold I,yes,yes,yes,no,no,no,yes,Continental,,
AIRPORT HOTEL PUSHPANJALI,yes,yes,yes,no,no,no,no,,,
Glace Hotel,yes,yes,no,no,no,no,no,,,
Hotel Arch Plaza - Near Delhi Airport,no,no,no,yes,no,no,no,Continental,Vegetarian,Halal
Airport Hotel IVY,no,yes,yes,no,no,no,no,Continental,Vegetarian,Asian
The Grand Uddhav,yes,yes,no,no,no,no,no,Continental,Italian,Full English/Irish
Hotel IVY plaza Luxury,yes,no,no,no,no,no,no,Continental,Italian,Full English/Irish
Hotel Elegance,no,yes,no,yes,no,no,no,Vegetarian,,
Airport Hotel Clayton,no,no,yes,no,no,no,no,Continental,Vegetarian,Asian
Hotel HSP Suites - Near Delhi Airport,yes,yes,yes,no,no,no,no,Continental,Vegetarian,Halal
Hotel Delite - Nehru Enclave Gate No 5,yes,yes,yes,no,no,no,no,,,
Majestic Stay - East Of Kailash,yes,yes,yes,no,no,no,no,,,
Hotel Royal Grand - Opposite Axis Bank East Patel Nagar,yes,no,yes,no,no,no,no,Continental,American,
"Hotel Orchid Inn at Tilak Nagar "" Couple Friendly """,yes,yes,yes,no,no,no,no,Vegetarian,,
"Treebo Trend Royal Comfort - 5 Km Away From Arun Jaitley Stadium, Delhi",yes,yes,yes,yes,no,no,no,Continental,Vegetarian,Buffet
Hotel Shanti Villa,yes,no,yes,no,no,no,no,Continental,Vegetarian,Asian
Hotel Blue Pearl,yes,yes,no,no,no,no,yes,Continental,,
Gallivanto Inn,yes,no,no,no,yes,yes,no,Italian,Vegetarian,American
Hotel Red Velvet At Delhi Airport,no,no,yes,no,no,no,no,Continental,Vegetarian,
Hotel Delhi Heart at New Delhi Railway Station,yes,no,yes,no,no,no,no,Continental,,
Hotel Olivia Inn At Delhi Airport,yes,no,no,no,no,no,yes,Continental,Italian,Full English/Irish
LetsBunk Poshtel & Suites,no,no,no,no,yes,no,no,Continental,Italian,Full English/Irish
FabHotel De Gold,yes,no,yes,no,no,no,no,Continental,Vegetarian,Asian
hotel ambience,yes,yes,yes,yes,no,no,no,Continental,Buffet,
FabHotel F9 Ashok Vihar,no,no,no,no,no,no,yes,,,
Roomshala 133 Happy Residency - Champa Gali,yes,yes,yes,no,no,no,no,,,
MGM Residency,yes,no,yes,no,no,no,yes,,,
Hotel Kaca Inn-by Haveliya Hotels,yes,yes,yes,no,no,no,no,Continental,Vegetarian,Halal
"Hotel Lav Kush Deluxe "" 3 Min Walking from New Delhi Railway Station """,no,yes,no,no,no,no,no,Vegetarian,,
Hotel City Centre Inn - Nizamuddin Railway Station,yes,yes,no,no,no,no,no,Vegetarian,,
Hotel Airlift INN at Delhi Airport,yes,yes,no,no,no,no,no,Vegetarian,Asian,
Airport Hotel Ramhan Palace Mahipalpur,no,no,no,yes,no,no,no,Continental,Vegetarian,
Hotel The IVY Grand With Free Secured Parking,yes,no,yes,no,no,no,no,Continental,,
HOTEL ALL IZ WELL-By Haveliya Hotels,yes,no,no,no,no,no,no,Continental,,
"The Saina International- New Delhi, Paharganj",yes,yes,yes,no,no,no,no,Continental,Vegetarian,Asian
Premium Rooms In Jangpura Bhogal Near Nizamuddin Railway Station,yes,no,yes,no,no,no,no,,,
Roomshala 127 Mannat Stay - Laxmi Nagar,yes,yes,yes,no,no,no,no,Vegetarian,Breakfast to go,
Roomshala 111 Cosy Nook - Hauz Khas,yes,yes,yes,no,no,no,no,Vegetarian,,
Hotel Su Shree Continental 5 Minutes Walk From New Delhi Railway Station,yes,yes,no,no,no,no,no,Continental,Vegetarian,
"Hotel The Prithvi, Near Delhi Airport",yes,yes,no,no,no,no,no,Vegetarian,Asian,
FabHotel Marble Arch,yes,yes,no,yes,no,no,no,Continental,Vegetarian,
Hotel Kaushal Palace,yes,no,no,no,no,no,yes,,,
Hotel Airport View,yes,no,no,no,no,no,no,Continental,Vegetarian,American
Hotel Mannat,yes,yes,yes,no,no,no,no,Vegetarian,,
Hotel Jashn Inn near Apollo Hospital,no,no,yes,no,no,no,no,Continental,Vegetarian,
The Leela Ambience Convention Hotel Delhi,no,no,no,no,no,no,no,Continental,Italian,Full English/Irish
Hotel I Stay Main Market Indian Guest allowed only,no,yes,yes,no,no,no,no,Vegetarian,,
"HOTEL ICONIC SUITES, New Delhi Airport",no,no,yes,no,no,no,no,Continental,Vegetarian,Halal
Hotel Hari Piorko,yes,no,no,yes,no,no,no,,,
FabHotel Majestic JPM I,yes,yes,no,no,no,no,no,,,
FabHotel Station 3,yes,yes,yes,no,no,no,yes,Continental,,
Hotel Nature View Green Park Metro Couple Friendly New Delhi,yes,no,no,yes,no,no,no,Italian,Vegetarian,Halal
Hotel Tashkent Palace - Paharganj - Budget Friendly,yes,yes,no,no,no,no,yes,Continental,American,
Hotel Cashew Near New Delhi railway station,yes,yes,yes,no,no,no,no,,,
Jupiter Plaza Delhi Airport,no,yes,no,no,no,no,no,Continental,Vegetarian,Vegan
FabHotel Heaven In,yes,no,no,yes,no,no,yes,Continental,Vegetarian,
Hotel Bluestone - Nehru Place,no,no,yes,no,no,no,no,Continental,Vegetarian,
Bloc Hotel Birmingham,yes,no,yes,no,no,yes,yes,,,
Aloft Birmingham Eastside,no,no,no,no,yes,no,no,Full English/Irish,,
Campanile Hotel - Birmingham,no,no,yes,no,yes,yes,no,Full English/Irish,Vegetarian,Gluten-free
Aparthotel Adagio Birmingham City Centre,no,no,no,no,no,no,no,Continental,,
pentahotel Birmingham,no,no,no,no,yes,yes,no,Full English/Irish,Vegetarian,Vegan
Hotel at Conference Aston,no,no,no,no,no,yes,yes,Continental,Full English/Irish,Vegetarian
"The Fountain Inn, Digbeth",no,yes,yes,no,yes,no,no,,,
ibis budget Birmingham Centre,yes,no,no,no,no,yes,yes,Continental,Buffet,
Peter Scott House Birmingham,no,no,yes,no,no,yes,no,Continental,Full English/Irish,Vegetarian
"Birmingham Strathallan Hotel, BW Signature Collection",no,no,yes,no,no,yes,no,Continental,Full English/Irish,
"Holiday Inn Express Birmingham - Snow Hill, an IHG Hotel",no,no,yes,no,yes,yes,no,Continental,,
"Holiday Inn Birmingham City, an IHG Hotel",no,no,yes,no,yes,yes,yes,Full English/Irish,,
"Holiday Inn Express - Birmingham - City Centre, an IHG Hotel",no,no,yes,no,yes,yes,no,Buffet,Breakfast to go,
Staycity Aparthotels Birmingham Jewellery Quarter,no,yes,no,no,yes,yes,no,Full English/Irish,,
Selina Birmingham,yes,no,yes,no,yes,yes,no,Continental,,
"Staybridge Suites Birmingham, an IHG Hotel",no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
Leonardo Royal Hotel Birmingham - formerly Jurys Inn,no,no,no,yes,yes,yes,yes,Continental,Full English/Irish,Vegetarian
The Cotteridge Inn,yes,no,yes,yes,yes,yes,no,Full English/Irish,Vegetarian,Vegan
Hampton by Hilton Birmingham Broad Street,no,no,no,no,no,yes,yes,Continental,Full English/Irish,Vegetarian
The Bournbrook Inn,no,yes,yes,yes,yes,yes,no,Full English/Irish,Gluten-free,
Hampton by Hilton Birmingham Jewellery Quarter,no,no,yes,no,yes,yes,no,Continental,Full English/Irish,Gluten-free
