Hotel Name,Free WiFi,Family rooms,Non-smoking rooms,Restaurant,Bar,Heating,Lift,Breakfast Cuisine 1,Breakfast Cuisine 2,Breakfast Cuisine 3
Mövenpick Hotel Jumeirah Lakes Towers Dubai,no,no,no,no,no,no,no,Continental,Italian,Full English/Irish
The H Dubai,no,no,no,no,yes,no,no,Continental,Full English/Irish,Vegetarian
DoubleTree by Hilton Dubai Al Jadaf,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Citymax Hotel Al Barsha at the Mall,no,no,yes,no,yes,no,no,,,
Hyde Park Hotel,yes,no,yes,no,no,no,no,Continental,Vegetarian,Asian
"Al Khoory Executive Hotel, Al Wasl",yes,no,no,no,no,no,no,Continental,Halal,
Mövenpick Hotel Jumeirah Beach,no,no,no,no,no,no,no,Continental,Vegetarian,Vegan
Edge Creekside Hotel,no,no,yes,no,no,no,no,Continental,,
Avani Deira Dubai Hotel,no,no,yes,no,no,no,yes,Buffet,,
Ramee Rose Hotel,yes,no,yes,no,yes,no,no,Continental,,
Premier Inn Dubai Ibn Battuta Mall,no,yes,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
Park Regis Business Bay,yes,no,yes,no,no,no,no,Continental,Halal,
Hyatt Centric Jumeirah Dubai,no,no,no,no,yes,no,yes,,,
Ramada Downtown Dubai,no,no,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
"TIME Grand Plaza Hotel, Dubai Airport",no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Aparthotel Adagio Dubai Deira,no,yes,yes,no,no,no,no,Gluten-free,Asian,American
Four Points by Sheraton Sheikh Zayed Road,no,no,no,no,yes,no,no,Continental,Vegetarian,Halal
Millennium Plaza Downtown Suites,no,yes,no,no,no,no,no,Continental,Vegetarian,Halal
Movenpick Jumeirah Village Triangle,no,yes,no,no,no,no,yes,Asian,,
The Meydan Hotel Dubai,no,no,no,no,no,no,no,Halal,,
Four Points by Sheraton Bur Dubai,no,no,no,no,yes,no,no,Continental,Vegetarian,Halal
Abidos Hotel Apartment Dubai Land,no,yes,no,no,no,no,no,Continental,Vegetarian,Halal
"Courtyard by Marriott World Trade Centre, Dubai",no,no,no,no,no,no,no,Continental,Vegetarian,Asian
"Sheraton Mall of the Emirates Hotel, Dubai",no,no,no,no,no,no,yes,Buffet,,
"Crowne Plaza - Dubai Jumeirah, an IHG Hotel",no,no,yes,no,no,no,no,Continental,Vegetarian,Halal
Premier Inn Dubai Al Jaddaf,no,yes,no,no,no,no,no,Full English/Irish,Halal,Buffet
فندق جلف ستار,yes,yes,yes,no,no,no,no,,,
"The Apartments, Dubai World Trade Centre Hotel Apartments",no,yes,no,no,no,no,no,Continental,Halal,
FORTUNE ATRIUM HOTEL,yes,no,no,no,yes,no,no,Continental,Vegetarian,Halal
Jumeirah Creekside Hotel,no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
The First Collection at Jumeirah Village Circle,no,no,yes,no,yes,no,no,,,
Studio M Arabian Plaza Hotel & Hotel Apartments,no,no,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
OYO 367 Eureka Hotel,yes,no,yes,no,no,no,yes,,,
Jumeirah Emirates Towers,no,no,no,no,no,no,yes,Buffet,,
The Manor By JA,no,no,yes,no,yes,no,no,Continental,Vegetarian,Vegan
Hyatt Place Dubai Baniyas Square,no,yes,yes,no,no,no,yes,Continental,Full English/Irish,Vegetarian
Mövenpick Grand Al Bustan,no,no,no,no,no,no,no,,,
Excelsior Hotel Downtown,no,no,yes,no,no,no,no,Continental,,
Grand Mercure Dubai,no,no,yes,no,no,no,no,Continental,Vegan,Halal
Aloft Dubai Airport,no,no,yes,no,no,no,no,Continental,Vegetarian,Halal
Adagio Jumeirah Village Triangle,no,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
Wyndham Dubai Deira,no,yes,no,no,no,no,yes,Full English/Irish,Asian,American
"Hotel Indigo Dubai Downtown, an IHG Hotel",no,no,no,no,no,no,yes,Continental,Italian,Full English/Irish
Hilton Garden Inn Dubai Al Mina - Jumeirah,no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
JA Lake View Hotel (JA The Resort),no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
La Suite Dubai Hotel & Apartments,no,no,no,no,no,no,no,Continental,Italian,Vegetarian
Emirates Grand Hotel,yes,no,yes,no,no,no,no,Halal,,
VISTA HOTEL APARTMENTS DELUXE,no,yes,yes,no,no,yes,no,,,
Flora Al Barsha Hotel At The Mall,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
"Holiday Inn Dubai Al Barsha, an IHG Hotel",no,no,no,no,yes,no,no,Continental,Vegetarian,Vegan
York International Hotel,yes,no,yes,yes,yes,no,no,Continental,Vegetarian,Vegan
"voco - Bonnington Dubai, an IHG Hotel",no,no,no,yes,yes,no,no,Vegetarian,Vegan,Halal
Best Western Plus Dubai Academic City,yes,no,yes,yes,no,no,no,Continental,,
Rose Rayhaan by Rotana - Dubai,no,no,yes,no,no,no,yes,Continental,Italian,Full English/Irish
Towers Rotana - Dubai,no,no,yes,no,yes,no,no,Continental,Vegetarian,Vegan
"Holiday Inn & Suites - Dubai Festival City Mall, an IHG Hotel",no,yes,yes,no,no,yes,no,Continental,Vegetarian,Halal
Le Meridien Fairway,no,no,no,yes,yes,no,no,Continental,American,
Riviera Hotel,no,no,yes,no,no,no,no,Continental,Vegetarian,Halal
JW Marriott Marquis Hotel Dubai,no,no,yes,no,no,no,yes,Continental,American,
SLS Dubai Hotel & Residences,no,no,no,no,no,no,yes,Continental,Italian,Full English/Irish
Golden Tulip Media Hotel,no,no,no,no,no,no,no,Continental,Vegetarian,Halal
Riu Plaza London Victoria,yes,yes,no,yes,yes,yes,no,Buffet,,
Sonder Camden Road,yes,no,yes,no,no,no,no,,,
Tavistock Hotel,no,yes,no,no,yes,yes,yes,Full English/Irish,,
Park Grand London Kensington,no,no,yes,yes,yes,yes,no,Full English/Irish,,
